/ # cat /proc/mtd 
dev:    size   erasesize  name
mtd0: 00100000 00020000 "0:SBL1"
mtd1: 00100000 00020000 "0:MIBIB"
mtd2: 00100000 00020000 "0:BOOTCONFIG"
mtd3: 00100000 00020000 "0:QSEE"
mtd4: 00080000 00020000 "0:CDT"
mtd5: 00080000 00020000 "0:BOOTCONFIG1"
mtd6: 00180000 00020000 "0:APPSBLENV"
mtd7: 00200000 00020000 "0:APPSBL"
mtd8: 00080000 00020000 "0:ART"
mtd9: 02d00000 00020000 "rootfs"
mtd10: 02d00000 00020000 "rootfs_1"
mtd11: 00900000 00020000 "factory_data"
mtd12: 01100000 00020000 "runtime_data"
mtd13: 00345000 0001f000 "kernel"
mtd14: 0118f000 0001f000 "ubi_rootfs"
mtd15: 015eb000 0001f000 "rootfs_data"
mtd16: 005d0000 0001f000 "ubi_factory_data"
mtd17: 00d90000 0001f000 "ubi_runtime_data"
